dog_ID,dog_name,sex,birthdate,test_date,age,breed,transparent_screen,tunnel_right_side,trial,looking_direction,start_experience_phase ,manipulation_check_times,Approach_transparent_screen_first,Help_introduction,notes
1,Ronja7,F,28/03/2015,17/11/2021,79,Riesenschnauzer,blue,blue,1,R,R,1,0,help,Escapade through the fence the first manipulation check so had to start over 
1,Ronja7,F,28/03/2015,17/11/2021,79,Riesenschnauzer,blue,blue,2,L,R,1,0,help,
1,Ronja7,F,28/03/2015,17/11/2021,79,Riesenschnauzer,blue,blue,3,R,R,1,0,help,
1,Ronja7,F,28/03/2015,17/11/2021,79,Riesenschnauzer,blue,blue,4,L,R,1,0,help,
2,Sunny10,F,25/02/2017,17/11/2021,56,Poodle (Miniature),yellow,blue,1,R,L,1,1,help,
2,Sunny10,F,25/02/2017,17/11/2021,56,Poodle (Miniature),yellow,blue,2,L,L,1,1,help,
2,Sunny10,F,25/02/2017,17/11/2021,56,Poodle (Miniature),yellow,blue,3,R,L,1,1,help,
F,Sunny10,F,25/02/2017,17/11/2021,56,Poodle (Miniature),yellow,blue,4,L,L,1,1,help,
3,Riu,F,28/03/2018,18/11/2021,43,Australian Shepherd,blue,yellow,1,R,R,1,1,help,
3,Riu,F,28/03/2018,18/11/2021,43,Australian Shepherd,blue,yellow,2,L,R,1,1,help,
3,Riu,F,28/03/2018,18/11/2021,43,Australian Shepherd,blue,yellow,3,R,R,1,1,help,
3,Riu,F,28/03/2018,18/11/2021,43,Australian Shepherd,blue,yellow,4,L,R,1,1,help,
4,Kyra3,F,10/09/2016,19/11/2021,62,Mix (Dachshund),yellow,yellow,1,R,L,1,1,no help ,
4,Kyra3,F,10/09/2016,19/11/2021,62,Mix (Dachshund),yellow,yellow,2,L,L,1,1,no help ,
4,Kyra3,F,10/09/2016,19/11/2021,62,Mix (Dachshund),yellow,yellow,3,R,L,1,1,no help ,
4,Kyra3,F,10/09/2016,19/11/2021,62,Mix (Dachshund),yellow,yellow,4,L,L,1,1,no help ,
5,Toulouse,M,04/07/2019,16/11/2021,28,Mix,blue,blue,1,L,R,2,1,help,
5,Toulouse,M,04/07/2019,16/11/2021,28,Mix,blue,blue,2,R,R,2,1,help,
5,Toulouse,M,04/07/2019,16/11/2021,28,Mix,blue,blue,3,L,R,2,1,help,
5,Toulouse,M,04/07/2019,16/11/2021,28,Mix,blue,blue,4,R,R,2,1,help,
6,Mika2,F,07/01/2014,19/11/2021,94,Whippet,yellow,blue,1,L,L,1,1,help,
6,Mika2,F,07/01/2014,19/11/2021,94,Whippet,yellow,blue,2,R,L,1,1,help,
6,Mika2,F,07/01/2014,19/11/2021,94,Whippet,yellow,blue,3,L,L,1,1,help,
6,Mika2,F,07/01/2014,19/11/2021,94,Whippet,yellow,blue,4,R,L,1,1,help,
7,Tenya,F,13/03/2016,16/11/2021,68,Collie rough,blue,yellow,1,L,L,1,1,no help ,"Did the experience phase on the ""dogs side"" first "
7,Tenya,F,13/03/2016,16/11/2021,68,Collie rough,blue,yellow,2,R,L,1,1,no help ,
7,Tenya,F,13/03/2016,16/11/2021,68,Collie rough,blue,yellow,3,L,L,1,1,no help ,
7,Tenya,F,13/03/2016,16/11/2021,68,Collie rough,blue,yellow,4,R,L,1,1,no help ,
8,Suri3,F,06/04/2013,21/11/2021,103,Labrador Retriever,yellow,yellow,1,L,R,1,1,help,
8,Suri3,F,06/04/2013,21/11/2021,103,Labrador Retriever,yellow,yellow,2,R,R,1,1,help,
8,Suri3,F,06/04/2013,21/11/2021,103,Labrador Retriever,yellow,yellow,3,L,R,1,1,help,
8,Suri3,F,06/04/2013,21/11/2021,103,Labrador Retriever,yellow,yellow,4,R,R,1,1,help,
9,Io,F,21/06/2020,19/11/2021,16,Whippet,blue,blue,1,R,L,1,1,no help ,Tried to escape from the owner during the second trial 
9,Io,F,21/06/2020,19/11/2021,16,Whippet,blue,blue,2,L,L,1,1,no help ,
9,Io,F,21/06/2020,19/11/2021,16,Whippet,blue,blue,3,L,L,1,1,no help ,
9,Io,F,21/06/2020,19/11/2021,16,Whippet,blue,blue,4,R,L,1,1,no help ,
10,Samira,F,04/05/2014,22/11/2021,90,Yorkshire Terrier,yellow,blue,1,R,R,2,1,no help ,
10,Samira,F,04/05/2014,22/11/2021,90,Yorkshire Terrier,yellow,blue,2,L,R,2,1,no help ,
10,Samira,F,04/05/2014,22/11/2021,90,Yorkshire Terrier,yellow,blue,3,L,R,2,1,no help ,
10,Samira,F,04/05/2014,22/11/2021,90,Yorkshire Terrier,yellow,blue,4,R,R,2,1,no help ,
11,Thaya,F,17/12/2010,19/11/2021,131,Whippet,blue,yellow,1,R,L,1,1,no help ,
11,Thaya,F,17/12/2010,19/11/2021,131,Whippet,blue,yellow,2,L,L,1,1,no help ,
11,Thaya,F,17/12/2010,19/11/2021,131,Whippet,blue,yellow,3,L,L,1,1,no help ,
11,Thaya,F,17/12/2010,19/11/2021,131,Whippet,blue,yellow,4,R,L,1,1,no help ,
12,Nemo1,M,03/11/2014,23/11/2021,84,Collie Smooth,yellow,yellow,1,R,R,1,0,no help ,Sould have looked RLLR but looked RLRL.
12,Nemo1,M,03/11/2014,23/11/2021,84,Collie Smooth,yellow,yellow,2,L,R,1,0,no help ,
12,Nemo1,M,03/11/2014,23/11/2021,84,Collie Smooth,yellow,yellow,3,R,R,1,0,no help ,
12,Nemo1,M,03/11/2014,23/11/2021,84,Collie Smooth,yellow,yellow,4,L,R,1,0,no help ,
13,Stella4,F,01/06/2014,23/11/2021,89,Mix (Austrian Pinscher),blue,blue,1,L,L,1,1,no help ,
13,Stella4,F,01/06/2014,23/11/2021,89,Mix (Austrian Pinscher),blue,blue,2,R,L,1,1,no help ,
13,Stella4,F,01/06/2014,23/11/2021,89,Mix (Austrian Pinscher),blue,blue,3,R,L,1,1,no help ,
13,Stella4,F,01/06/2014,23/11/2021,89,Mix (Austrian Pinscher),blue,blue,4,L,L,1,1,no help ,
14,JellyBean,F,17/08/2013,17/12/2021,100,Airedale Terrier,yellow,blue,1,L,R,2,1,no help ,Tipped over the fence during the second manipulation check. 
14,JellyBean,F,17/08/2013,17/12/2021,100,Airedale Terrier,yellow,blue,2,R,R,2,1,no help,
14,JellyBean,F,17/08/2013,17/12/2021,100,Airedale Terrier,yellow,blue,3,R,R,2,1,no help,
14,JellyBean,F,17/08/2013,17/12/2021,100,Airedale Terrier,yellow,blue,4,L,R,2,1,no help,
15,Elvis3,M,05/09/2020,21/11/2021,14,Labrador Retriever,blue,yellow,1,L,L,2,1,help,
15,Elvis3,M,05/09/2020,21/11/2021,14,Labrador Retriever,blue,yellow,2,R,L,2,1,help,
15,Elvis3,M,05/09/2020,21/11/2021,14,Labrador Retriever,blue,yellow,3,R,L,2,1,help,
15,Elvis3,M,05/09/2020,21/11/2021,14,Labrador Retriever,blue,yellow,4,L,L,2,1,help,
16,Dunni,F,21/02/2021,25/11/2021,9,Miniature Pinscher ,yellow,yellow,1,L,R,1,1,no help ,
16,Dunni,F,21/02/2021,25/11/2021,9,Miniature Pinscher ,yellow,yellow,2,R,R,1,1,no help ,
16,Dunni,F,21/02/2021,25/11/2021,9,Miniature Pinscher ,yellow,yellow,3,R,R,1,1,no help ,
16,Dunni,F,21/02/2021,25/11/2021,9,Miniature Pinscher ,yellow,yellow,4,L,R,1,1,no help ,
17,Joseph,M,10/02/2018,29/11/2021,45,Mix (Puli),blue,blue,1,R,L,2,1,help,
17,Joseph,M,10/02/2018,29/11/2021,45,Mix (Puli),blue,blue,2,L,L,2,1,help,
17,Joseph,M,10/02/2018,29/11/2021,45,Mix (Puli),blue,blue,3,R,L,2,1,help,
17,Joseph,M,10/02/2018,29/11/2021,45,Mix (Puli),blue,blue,4,L,L,2,1,help,
18,Jasper,M,25/02/2010,24/11/2021,140,Labradoodle,yellow,blue,1,R,R,1,0,help,Sounds in the room next door during trial 3
18,Jasper,M,25/02/2010,24/11/2021,140,Labradoodle,yellow,blue,2,L,R,1,0,help,
18,Jasper,M,25/02/2010,24/11/2021,140,Labradoodle,yellow,blue,3,R,R,1,0,help,
18,Jasper,M,25/02/2010,24/11/2021,140,Labradoodle,yellow,blue,4,L,R,1,0,help,
19,Josephine,F,22/03/2017,29/11/2021,56,Mix (Pumi),blue,yellow,1,R,L,1,1,no help ,
19,Josephine,F,22/03/2017,29/11/2021,56,Mix (Pumi),blue,yellow,2,L,L,1,1,no help ,
19,Josephine,F,22/03/2017,29/11/2021,56,Mix (Pumi),blue,yellow,3,R,L,1,1,no help ,
19,Josephine,F,22/03/2017,29/11/2021,56,Mix (Pumi),blue,yellow,4,L,L,1,1,no help ,
20,Luna28,F,20/05/2013,29/11/2021,102,"Mix (Jack Russell, Malinois)",yellow,yellow,1,R,R,1,1,help,
20,Luna28,F,20/05/2013,29/11/2021,102,"Mix (Jack Russell, Malinois)",yellow,yellow,2,L,R,1,1,help,
20,Luna28,F,20/05/2013,29/11/2021,102,"Mix (Jack Russell, Malinois)",yellow,yellow,3,R,R,1,1,help,
20,Luna28,F,20/05/2013,29/11/2021,102,"Mix (Jack Russell, Malinois)",yellow,yellow,4,L,R,1,1,help,
21,Leia,F,24/10/2011,29/11/2021,121,Beagle,blue,blue,1,L,L,1,1,help,Owner was not present in the room during the introduction and experience phase 
21,Leia,F,24/10/2011,29/11/2021,121,Beagle,blue,blue,2,R,L,1,1,help,
21,Leia,F,24/10/2011,29/11/2021,121,Beagle,blue,blue,3,L,L,1,1,help,
21,Leia,F,24/10/2011,29/11/2021,121,Beagle,blue,blue,4,R,L,1,1,help,
22,Manni2,M,31/05/2016,25/11/2021,65,Pyrenäen Sheep dog-smooth faced,yellow,blue,1,L,R,1,1,help,
22,Manni2,M,31/05/2016,25/11/2021,65,Pyrenäen Sheep dog-smooth faced,yellow,blue,2,R,R,1,1,help,
22,Manni2,M,31/05/2016,25/11/2021,65,Pyrenäen Sheep dog-smooth faced,yellow,blue,3,L,R,1,1,help,
22,Manni2,M,31/05/2016,25/11/2021,65,Pyrenäen Sheep dog-smooth faced,yellow,blue,4,R,R,1,1,help,
23,Anthony,M,17/09/2013,14/01/2022,99,English Setter,blue,yellow,1,L,R,1,1,no help,
23,Anthony,M,17/09/2013,14/01/2022,99,English Setter,blue,yellow,2,R,R,1,1,no help,
23,Anthony,M,17/09/2013,14/01/2022,99,English Setter,blue,yellow,3,L,R,1,1,no help,
23,Anthony,M,17/09/2013,14/01/2022,99,English Setter,blue,yellow,4,R,R,1,1,no help,
24,Crash,M,05/03/2018,14/01/2022,46,Australian Shepherd,yellow,yellow,1,L,L,1,1,help,
24,Crash,M,05/03/2018,14/01/2022,46,Australian Shepherd,yellow,yellow,2,R,L,1,1,help,
24,Crash,M,05/03/2018,14/01/2022,46,Australian Shepherd,yellow,yellow,3,L,L,1,1,help,
24,Crash,M,05/03/2018,14/01/2022,46,Australian Shepherd,yellow,yellow,4,R,L,1,1,help,
25,Yuna,F,27/09/2015,29/11/2021,74,Flat coated retriever ,blue,blue,1,R,R,1,1,no help,"Special food, Noise from outside window trial 3. Reapeted trial 3."
25,Yuna,F,27/09/2015,29/11/2021,74,Flat coated retriever ,blue,blue,2,L,R,1,1,no help,
25,Yuna,F,27/09/2015,29/11/2021,74,Flat coated retriever ,blue,blue,3,L,R,1,1,no help,
25,Yuna,F,27/09/2015,29/11/2021,74,Flat coated retriever ,blue,blue,4,R,R,1,1,no help,
26,Alou,F,15/03/2016,14/01/2022,69,Australian Shepherd,yellow,blue,1,R,L,1,1,no help ,jumped up on fence during manipulation check so added stuff on it 
26,Alou,F,15/03/2016,14/01/2022,69,Australian Shepherd,yellow,blue,2,L,L,1,1,no help,3 tries with manipulation check before it worked (total 4) 
26,Alou,F,15/03/2016,14/01/2022,69,Australian Shepherd,yellow,blue,3,L,L,1,1,no help,
26,Alou,F,15/03/2016,14/01/2022,69,Australian Shepherd,yellow,blue,4,R,L,1,1,no help,
27,Flamme,M,09/05/2008,25/11/2021,162,Pyrenean Sheepdog - smooth faced,blue,yellow,1,R,R,1,1,no help,
27,Flamme,M,09/05/2008,25/11/2021,162,Pyrenean Sheepdog - smooth faced,blue,yellow,2,L,R,1,1,no help,
27,Flamme,M,09/05/2008,25/11/2021,162,Pyrenean Sheepdog - smooth faced,blue,yellow,3,L,R,1,1,no help,
27,Flamme,M,09/05/2008,25/11/2021,162,Pyrenean Sheepdog - smooth faced,blue,yellow,4,R,R,1,1,no help,
28,Keres,F,03/10/2017,30/11/2021,49,Hungarian short-haired Pointer (Vizsla),yellow,yellow,1,R,R,1,1,help,start experience phase on the right should have been left 
28,Keres,F,03/10/2017,30/11/2021,49,Hungarian short-haired Pointer (Vizsla),yellow,yellow,2,L,R,1,1,help,
28,Keres,F,03/10/2017,30/11/2021,49,Hungarian short-haired Pointer (Vizsla),yellow,yellow,3,L,R,1,1,help,
28,Keres,F,03/10/2017,30/11/2021,49,Hungarian short-haired Pointer (Vizsla),yellow,yellow,4,R,R,1,1,help,
29,Flecki,F,19/11/2007,02/12/2021,168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)",blue,blue,1,L,R,1,1,help,Special food. Deaf 
29,Flecki,F,19/11/2007,02/12/2021,168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)",blue,blue,2,R,R,1,1,help,
29,Flecki,F,19/11/2007,02/12/2021,168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)",blue,blue,3,R,R,1,1,help,
29,Flecki,F,19/11/2007,02/12/2021,168,"Mix (Staffordshire Bullterrier, American Pitbull Terrier)",blue,blue,4,L,R,1,1,help,
30,Jessy9,F,11/01/2009,02/12/2021,154,chihuahua,yellow,blue,1,L,L,1,0,help,special food. Too small to get the food out of the buckets standing upp. Had to lay them down. 
30,Jessy9,F,11/01/2009,02/12/2021,154,chihuahua,yellow,blue,2,R,L,1,0,help,
30,Jessy9,F,11/01/2009,02/12/2021,154,chihuahua,yellow,blue,3,R,L,1,0,help,
30,Jessy9,F,11/01/2009,02/12/2021,154,chihuahua,yellow,blue,4,L,L,1,0,help,
31,Queenofhearts(queeny),F,19/05/2019,17/12/2021,30,Airedale Terrier,blue,yellow,1,L,R,1,1,help,Chewing the buckets so stopped the trial faster to take the bucket away
31,Queenofhearts(queeny),F,19/05/2019,17/12/2021,30,Airedale Terrier,blue,yellow,2,R,R,1,1,help,
31,Queenofhearts(queeny),F,19/05/2019,17/12/2021,30,Airedale Terrier,blue,yellow,3,R,R,1,1,help,
31,Queenofhearts(queeny),F,19/05/2019,17/12/2021,30,Airedale Terrier,blue,yellow,4,L,R,1,1,help,
32,Joline,F,02/05/2017,01/12/2021,54,Whippet,yellow,yellow,1,L,L,1,1,no help,bag fell and made a sound during the manipulation check
32,Joline,F,02/05/2017,01/12/2021,54,Whippet,yellow,yellow,2,R,L,1,1,no help,
32,Joline,F,02/05/2017,01/12/2021,54,Whippet,yellow,yellow,3,R,L,1,1,no help,
32,Joline,F,02/05/2017,01/12/2021,54,Whippet,yellow,yellow,4,L,L,1,1,no help,
26/33,Daytona,F,08/05/2019,18/01/2022,32,Australian Shepherd,yellow,blue,1,R,L,1,1,help,owner pushes dog forward when released during 4th trial 
26/33,Daytona,F,08/05/2019,18/01/2022,32,Australian Shepherd,yellow,blue,2,L,L,1,1,help,
26/33,Daytona,F,08/05/2019,18/01/2022,32,Australian Shepherd,yellow,blue,3,L,L,1,1,help,
26/33,Daytona,F,08/05/2019,18/01/2022,32,Australian Shepherd,yellow,blue,4,R,L,1,1,help,
